ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,Amount
0.021538461538462172,0.2637362637362638,0.9411925601750548,0.058823529411764705,0.17564355285438144,2/24/2003 0:00,Shipped,0.0,0.09090909090909091,0.0,Motorcycles,0.3425414364640884,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,,Yu,Kwai,Small,0.2788771461225328
0.06461538461538652,0.3076923076923077,0.7449398249452954,0.23529411764705882,0.16791599237390512,5/7/2003 0:00,Shipped,0.3333333333333333,0.36363636363636365,0.0,Motorcycles,0.3425414364640884,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,NY,51100,France,EMEA,Henriot,Paul,Small,0.26660775178233087
0.10461538461538566,0.38461538461538464,0.9280634573304156,0.058823529411764705,0.250150176425132,7/1/2003 0:00,Shipped,0.6666666666666667,0.5454545454545454,0.0,Motorcycles,0.3425414364640884,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,NY,75508,France,EMEA,Da Cunha,Daniel,Medium,0.39717465383614114
0.13846153846153797,0.4285714285714286,0.7710612691466083,0.2941176470588235,0.24003008675307907,8/25/2003 0:00,Shipped,0.6666666666666667,0.6363636363636364,0.0,Motorcycles,0.3425414364640884,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,EMEA,Young,Julie,Medium,0.3811065335984114
0.18153846153846231,0.4725274725274726,1.0,0.7647058823529411,0.3472725975999712,10/10/2003 0:00,Shipped,1.0,0.8181818181818182,0.0,Motorcycles,0.3425414364640884,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,90003,USA,EMEA,Brown,Julie,Medium,0.5157429987987434
0.20923076923076778,0.3296703296703297,0.9543216630196936,0.0,0.22040311249372274,10/28/2003 0:00,Shipped,1.0,0.8181818181818182,0.0,Motorcycles,0.3425414364640884,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,EMEA,Hirano,Juri,Medium,0.3499439063370079
0.24615384615384528,0.2527472527472528,0.8103118161925602,0.47058823529411764,0.14820152242499818,11/11/2003 0:00,Shipped,1.0,0.9090909090909091,0.0,Motorcycles,0.3425414364640884,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,CA,59000,France,EMEA,Rance,Martine,Small,0.23530620369062447
0.27076923076923265,0.46153846153846156,1.0,0.0,0.3698486912777091,11/18/2003 0:00,Shipped,1.0,0.9090909090909091,0.0,Motorcycles,0.3425414364640884,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,CA,N 5804,Norway,EMEA,Oeztan,Veysel,Medium,0.5040689794455542
0.3107692307692318,0.17582417582417587,0.9804431072210065,0.058823529411764705,0.12399462673530054,12/1/2003 0:00,Shipped,1.0,0.9999999999999999,0.0,Motorcycles,0.3425414364640884,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,N 5804,USA,EMEA,Murphy,Julie,Small,0.1968718297741194
0.34153846153846246,0.38461538461538464,1.0,0.7647058823529411,0.3107427795836528,1/15/2004 0:00,Shipped,0.0,0.0,0.5,Motorcycles,0.3425414364640884,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,CA,75016,France,EMEA,Perrier,Dominique,Medium,0.4223508439732291
0.37846153846153996,0.3406593406593407,1.0,0.0,0.25612929363038733,2/20/2004 0:00,Shipped,0.0,0.09090909090909091,0.5,Motorcycles,0.3425414364640884,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium,0.37565476656047203
0.42153846153846075,0.18681318681318687,1.0,0.3529411764705882,0.1360955011775155,4/5/2004 0:00,Shipped,0.3333333333333333,0.2727272727272727,0.5,Motorcycles,0.3425414364640884,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,APAC,Frick,Michael,Small,0.21221849561582204
0.4646153846153851,0.2417582417582418,1.0,0.058823529411764705,0.19899828464333005,5/18/2004 0:00,Shipped,0.3333333333333333,0.36363636363636365,0.5,Motorcycles,0.3425414364640884,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,Suite 101,Newark,NJ,94019,USA,APAC,Brown,William,Medium,0.27058859238176847
0.5015384615384626,0.3076923076923077,1.0,0.058823529411764705,0.23488769303276974,6/28/2004 0:00,Shipped,0.3333333333333333,0.4545454545454545,0.5,Motorcycles,0.3425414364640884,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,Suite 101,Bridgewater,CT,97562,USA,APAC,King,Julie,Medium,0.3406327085009041
0.5384615384615401,0.4285714285714286,0.9019420131291027,0.0,0.2716939680177521,7/23/2004 0:00,Shipped,0.6666666666666667,0.5454545454545454,0.5,Motorcycles,0.3425414364640884,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",Suite 101,Nantes,CT,44000,France,EMEA,Labrune,Janine,Medium,0.4313806979429211
